"month","skills","demand_count","avg_salary"
"2023-07-01","python","1299","130859.61"
"2023-07-01","looker","121","130409.69"
"2023-07-01","pyspark","106","128986.48"
"2023-07-01","azure","349","128805.12"
"2023-07-01","r","558","127322.94"
"2023-07-01","git","131","127312.56"
"2023-07-01","gcp","123","127283.06"
"2023-07-01","databricks","157","126631.92"
"2023-07-01","sql","1308","123578.58"
"2023-07-01","flow","121","117261.01"
"2023-07-01","tableau","494","115106.24"
"2023-07-01","oracle","150","110867.27"
"2023-07-01","sas","328","110468.47"
"2023-07-01","sql server","125","110212.54"
"2023-07-01","power bi","241","105335.73"
"2023-07-01","excel","390","103690.81"
"2023-08-01","pytorch","127","153445.57"
"2023-08-01","tensorflow","142","151420.98"
"2023-08-01","scala","160","148666.77"
"2023-08-01","spark","365","141249.53"
"2023-08-01","hadoop","212","139520.01"
"2023-08-01","java","237","139427.81"
"2023-08-01","pandas","105","139200.71"
"2023-08-01","aws","448","136985.16"
"2023-08-01","git","109","136784.04"
"2023-08-01","redshift","155","136756.84"
"2023-08-01","snowflake","257","135599.61"
"2023-08-01","airflow","136","135142.22"
"2023-08-01","kafka","127","135033.86"
"2023-08-01","go","144","134537.34"
"2023-08-01","nosql","140","134529.65"
"2023-08-01","databricks","140","134515.29"
"2023-08-01","python","1279","133517.37"
"2023-08-01","gcp","119","132722.20"
"2023-08-01","docker","102","132361.04"
"2023-08-01","r","548","131484.38"
"2023-08-01","azure","297","129247.74"
"2023-08-01","flow","105","126419.25"
"2023-08-01","sql","1290","124742.71"
"2023-08-01","tableau","489","119339.77"
"2023-08-01","sas","376","119282.76"
"2023-08-01","oracle","134","115107.22"
"2023-08-01","sql server","133","114403.59"
"2023-08-01","power bi","244","106136.99"
"2023-08-01","excel","384","105420.85"
"2023-08-01","powerpoint","105","103519.99"
"2023-09-01","spark","194","145224.04"
"2023-09-01","java","127","143002.87"
"2023-09-01","aws","253","139873.72"
"2023-09-01","python","702","135780.87"
"2023-09-01","snowflake","131","135444.59"
"2023-09-01","azure","187","132215.57"
"2023-09-01","r","285","129685.25"
"2023-09-01","sql","724","127384.15"
"2023-09-01","sas","180","116537.99"
"2023-09-01","tableau","260","111646.51"
"2023-09-01","power bi","151","105769.28"
"2023-09-01","excel","225","98809.34"
"2023-10-01","spark","181","157118.67"
"2023-10-01","scala","122","153088.80"
"2023-10-01","hadoop","106","150332.00"
"2023-10-01","aws","278","146111.92"
"2023-10-01","java","149","144720.87"
"2023-10-01","snowflake","146","138843.91"
"2023-10-01","python","750","136050.16"
"2023-10-01","azure","220","133937.38"
"2023-10-01","r","267","127126.84"
"2023-10-01","sql","776","126130.56"
"2023-10-01","tableau","284","117667.73"
"2023-10-01","sas","176","111480.02"
"2023-10-01","power bi","151","108090.93"
"2023-10-01","excel","241","94826.85"
"2023-11-01","spark","155","151072.51"
"2023-11-01","java","102","141977.17"
"2023-11-01","azure","164","137016.45"
"2023-11-01","aws","207","135643.53"
"2023-11-01","python","570","133428.39"
"2023-11-01","sql","603","125825.52"
"2023-11-01","r","239","125180.46"
"2023-11-01","tableau","249","115412.23"
"2023-11-01","sas","180","111428.81"
"2023-11-01","power bi","131","107237.53"
"2023-11-01","excel","208","91899.07"
"2023-12-01","kafka","104","156876.94"
"2023-12-01","hadoop","127","147653.39"
"2023-12-01","nosql","110","147642.15"
"2023-12-01","spark","208","147347.14"
"2023-12-01","scala","127","146748.95"
"2023-12-01","snowflake","145","142076.72"
"2023-12-01","java","177","140801.68"
"2023-12-01","aws","306","139460.69"
"2023-12-01","azure","214","134618.70"
"2023-12-01","python","766","134206.59"
"2023-12-01","sql","732","127967.08"
"2023-12-01","r","288","124375.96"
"2023-12-01","tableau","274","116955.04"
"2023-12-01","sas","172","109461.38"
"2023-12-01","power bi","176","103807.75"
"2023-12-01","excel","232","95511.66"
